id,second_coder_label_fr,technical_label_en,readable_label_en,category_group,description
352,Difficulté à tenir un évènement culture/sport à cause des CC,Cult_2_SUB,Event Disruption,Thematic Frames - Cultural,Sports or cultural events threatened or cancelled due to climate conditions
353,Perte de pratiques autochtones à cause des CC,Cult_3_SUB,Loss of Indigenous Practices,Thematic Frames - Cultural,Erosion of traditional hunting fishing or cultural rituals linked to climate
354,Empreinte carbone du secteur culture/sport,Cult_4_SUB,Cultural Sector Footprint,Thematic Frames - Cultural,Emissions from film production fashion large festivals etc.
355,CADRAGE ENVIRONNEMENT,Envt_Detection,Environmental Frame Detection,Thematic Frames - Environmental,Presence of any biodiversity concern
356,Disparition de milieux naturels,Envt_1_SUB,Habitat Loss,Thematic Frames - Environmental,Glacier melt coral bleaching forest die-off wetland drying
357,Disparition de faune et flore,Envt_2_SUB,Species Loss,Thematic Frames - Environmental,Local or global extinction risk for animals or plants
358,CADRAGE SCIENTIFIQUE,Sci_Detection,Scientific Frame Detection,Thematic Frames - Scientific,Presence of any scientific aspect
359,Débat scientifique,Sci_1_SUB,Scientific Controversy,Thematic Frames - Scientific,Debates on climate change reality causes thresholds geoengineering ethics
360,"Vulgarisation, découverte ou innovation scientifique",Sci_2_SUB,Discovery & Innovation,Thematic Frames - Scientific,New findings on climate impacts or emerging technologies (e.g. carbon capture)
361,Remise en question de la science du climat,Sci_3_SUB,Scientific Uncertainty,Thematic Frames - Scientific,Expressions of doubt or uncertainty about climate science
362,CADRAGE POLITIQUE,Pol_Detection,Political Frame Detection,Thematic Frames - Political,Presence of any policy measure or political discussion
363,Mise en place d'une politique,Pol_1_SUB,Policy Measures,Thematic Frames - Political,Concrete climate laws regulations or programmes under debate or in force
364,Débat politique sur les CC,Pol_2_SUB,Political Debate,Thematic Frames - Political,Parliamentary disputes party platforms
365,Positionnement politique sur les CC,Pol_3_SUB,Political Positioning,Thematic Frames - Political,Strategic positioning or partisan signalling around climate
366,Données d'opinion publique sur les CC,Pol_4_SUB,Public Opinion,Thematic Frames - Political,Polls or surveys on climate and energy
367,Manifestation,Event_8_SUB,Protest,Events,Demonstrations or strikes (e.g. climate strike anti-pipeline protest)
368,Défense de la science du climat,Sci_4_SUB,Scientific Certainty,Thematic Frames - Scientific,Strong consensus statements about climate science
